날짜,시도지역코드,발생건수(건)
20141230,26,2753
20141230,27,2210
20141230,28,1827
20141230,29,934
20141230,30,1295
20141230,31,723
20141230,41,9112
20141230,42,1229
20141230,43,1294
20141230,44,1827
20141230,45,1886
20141230,46,1498
20141230,47,2415
20141230,48,2525
20141230,49,574
20141230,99,39955
20141231,11,8250
20141231,26,2777
20141231,27,2088
20141231,28,1781
20141231,29,919
20141231,30,1238
20141231,31,731
20141231,41,9040
20141231,42,1131
20141231,43,1189
20141231,44,1653
20141231,45,1899
20141231,46,1417
20141231,47,2147
20141231,48,2497
20141231,49,491
20141231,99,39256
20150101,11,215
20150101,26,90
20150101,27,64
20150101,28,63
20150101,29,67
20150101,30,76
20150101,31,37
20150101,41,338
20150101,42,31
20150101,43,84
20150101,44,100
20150101,45,102
20150101,46,126
20150101,47,86
20150101,48,70
20150101,49,36
20150101,99,1587
20150102,11,9171
20150102,26,3073
20150102,27,2579
20150102,28,2029
20150102,29,932
20150102,30,1508
20150102,31,816
20150102,41,10647
20150102,42,1390
20150102,43,1652
20150102,44,2004
20150102,45,2023
20150102,46,1539
20150102,47,2772
20150102,48,3101
20150102,49,631
20150102,99,45873
20150103,11,5439
20150103,26,1700
20150103,27,1591
20150103,28,1271
20150103,29,671
20150103,30,1003
20150103,31,548
20150103,41,6477
20150103,42,680
20150103,43,941
20150103,44,1229
20150103,45,1177
20150103,46,936
20150103,47,1588
20150103,48,1781
20150103,49,353
20150103,99,27392
20150104,11,280
20150104,26,84
20150104,27,52
20150104,28,79
20150104,29,43
20150104,30,63
20150104,31,29
20150104,41,392
20150104,42,25
20150104,43,52
20150104,44,60
20150104,45,59
20150104,46,61
20150104,47,41
20150104,48,45
20150104,49,47
20150104,99,1412
20150105,11,10163
20150105,26,3403
20150105,27,2672
20150105,28,2238
20150105,29,1215
20150105,30,1723
20150105,31,932
20150105,41,11476
20150105,42,1549
20150105,43,1730
20150105,44,2290
20150105,45,2494
20150105,46,1946
20150105,47,3080
20150105,48,3324
20150105,49,663
20150105,99,50903
20150106,11,7443
20150106,26,2676
20150106,27,2145
20150106,28,1665
20150106,29,921
20150106,30,1184
20150106,31,686
20150106,41,8361
20150106,42,1220
20150106,43,1278
20150106,44,1735
20150106,45,1827
20150106,46,1402
20150106,47,2384
20150106,48,2553
20150106,49,601
20150106,99,38095
20150107,11,7066
20150107,26,2487
20150107,27,1939
20150107,28,1559
20150107,29,884
20150107,30,1198
20150107,31,695
20150107,41,7890
20150107,42,1062
20150107,43,1172
20150107,44,1641
20150107,45,1676
20150107,46,1345
20150107,47,2348
20150107,48,2562
20150107,49,465
20150107,99,35997
20150108,11,6792
20150108,26,2344
20150108,27,1901
20150108,28,1505
20150108,29,852
20150108,30,1142
20150108,31,691
20150108,41,7893
20150108,42,1034
20150108,43,1203
20150108,44,1532
20150108,45,1729
20150108,46,1386
20150108,47,2072
20150108,48,2257
20150108,49,467
20150108,99,34810
20150109,11,8110
20150109,26,2627
20150109,27,2046
20150109,28,1717
20150109,29,962
20150109,30,1234
20150109,31,695
20150109,41,9000
20150109,42,1219
20150109,43,1340
20150109,44,1700
20150109,45,1909
20150109,46,1453
20150109,47,2583
20150109,48,2624
20150109,49,578
20150109,99,39810
20150110,11,5745
20150110,26,1984
20150110,27,1659
20150110,28,1362
20150110,29,765
20150110,30,1031
