날짜,시도지역코드,발생건수(건)
20140228,48,3533
20140228,49,556
20140228,99,49070
20140301,11,1829
20140301,26,1147
20140301,27,1295
20140301,28,883
20140301,29,911
20140301,30,466
20140301,31,524
20140301,41,3262
20140301,42,399
20140301,43,820
20140301,44,905
20140301,45,904
20140301,46,1198
20140301,47,1272
20140301,48,1321
20140301,49,205
20140301,99,17348
20140302,11,724
20140302,26,211
20140302,27,267
20140302,28,333
20140302,29,280
20140302,30,142
20140302,31,150
20140302,41,1428
20140302,42,104
20140302,43,173
20140302,44,238
20140302,45,232
20140302,46,368
20140302,47,300
20140302,48,182
20140302,49,58
20140302,99,5192
20140303,11,10556
20140303,26,3980
20140303,27,3132
20140303,28,3690
20140303,29,2255
20140303,30,1634
20140303,31,1401
20140303,41,13437
20140303,42,1777
20140303,43,2206
20140303,44,3000
20140303,45,2801
20140303,46,3209
20140303,47,3676
20140303,48,4525
20140303,49,665
20140303,99,61967
20140304,11,6266
20140304,26,2680
20140304,27,2103
20140304,28,2260
20140304,29,1446
20140304,30,1065
20140304,31,943
20140304,41,8290
20140304,42,1157
20140304,43,1465
20140304,44,1861
20140304,45,1859
20140304,46,2121
20140304,47,2373
20140304,48,2751
20140304,49,425
20140304,99,39082
20140305,11,6601
20140305,26,2575
20140305,27,1958
20140305,28,2083
20140305,29,1360
20140305,30,1005
20140305,31,936
20140305,41,8199
20140305,42,1071
20140305,43,1313
20140305,44,1719
20140305,45,1760
20140305,46,2010
20140305,47,2305
20140305,48,2729
20140305,49,423
20140305,99,38061
20140306,11,6236
20140306,26,2567
20140306,27,2004
20140306,28,2296
20140306,29,1576
20140306,30,1016
20140306,31,911
20140306,41,8233
20140306,42,1077
20140306,43,1323
20140306,44,1820
20140306,45,1845
20140306,46,2107
20140306,47,2244
20140306,48,2607
20140306,49,396
20140306,99,38271
20140307,11,6945
20140307,26,2691
20140307,27,2149
20140307,28,2401
20140307,29,1475
20140307,30,1094
20140307,31,991
20140307,41,8573
20140307,42,1201
20140307,43,1449
20140307,44,1915
20140307,45,2006
20140307,46,2164
20140307,47,2412
20140307,48,2927
20140307,49,435
20140307,99,40844
20140308,11,6553
20140308,26,2529
20140308,27,2170
20140308,28,2305
20140308,29,1541
20140308,30,1161
20140308,31,945
20140308,41,8622
20140308,42,974
20140308,43,1258
20140308,44,1777
20140308,45,1689
20140308,46,1835
20140308,47,2209
20140308,48,2574
20140308,49,394
20140308,99,38549
20140309,11,690
20140309,26,195
20140309,27,286
20140309,28,314
20140309,29,281
20140309,30,165
20140309,31,163
20140309,41,1391
20140309,42,91
20140309,43,140
20140309,44,278
