날짜,시도지역코드,발생건수(건)
20140310,41,11239
20140310,42,1253
20140310,43,1440
20140310,44,1667
20140310,45,1933
20140310,46,2003
20140310,47,2604
20140310,48,2782
20140310,49,358
20140310,99,46934
20140311,11,11212
20140311,26,4701
20140311,27,3516
20140311,28,3498
20140311,29,1694
20140311,30,1991
20140311,31,1311
20140311,41,13781
20140311,42,2114
20140311,43,2026
20140311,44,2779
20140311,45,2075
20140311,46,2828
20140311,47,3370
20140311,48,4707
20140311,49,709
20140311,99,62333
20140312,11,9055
20140312,26,3449
20140312,27,2634
20140312,28,2795
20140312,29,1358
20140312,30,1424
20140312,31,1074
20140312,41,10638
20140312,42,1541
20140312,43,1477
20140312,44,2061
20140312,45,1606
20140312,46,2166
20140312,47,2883
20140312,48,3659
20140312,49,602
20140312,99,48439
20140313,11,8633
20140313,26,3197
20140313,27,2322
20140313,28,2598
20140313,29,1340
20140313,30,1432
20140313,31,915
20140313,41,10585
20140313,42,1362
20140313,43,1445
20140313,44,2119
20140313,45,1651
20140313,46,2101
20140313,47,2574
20140313,48,3279
20140313,49,529
20140313,99,46098
20140314,11,9933
20140314,26,3744
20140314,27,2799
20140314,28,3028
20140314,29,1363
20140314,30,1755
20140314,31,1104
20140314,41,11493
20140314,42,1742
20140314,43,1629
20140314,44,2314
20140314,45,1882
20140314,46,2405
20140314,47,2986
20140314,48,3811
20140314,49,536
20140314,99,52537
20140315,11,8670
20140315,26,3044
20140315,27,2691
20140315,28,2956
20140315,29,1406
20140315,30,1573
20140315,31,955
20140315,41,11112
20140315,42,1409
20140315,43,1496
20140315,44,2024
20140315,45,1558
20140315,46,2041
20140315,47,2499
20140315,48,3413
20140315,49,471
20140315,99,47336
20140316,11,379
20140316,26,209
20140316,27,62
20140316,28,200
20140316,29,47
20140316,30,111
20140316,31,73
20140316,41,978
20140316,42,67
20140316,43,113
20140316,44,179
20140316,45,78
20140316,46,109
20140316,47,128
20140316,48,153
20140316,49,46
20140316,99,2932
20140317,11,12615
20140317,26,4823
